"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4284400080","linkedin","https://www.linkedin.com/jobs/view/4284400080","","Manufacturing Engineer","Precision Impacts","Dayton, OH","2025-08-13","","","","","","",False,"","","","","","","https://www.linkedin.com/company/precision-impact-extrusion","","","","","","","","","","","",""
"li-4208471018","linkedin","https://www.linkedin.com/jobs/view/4208471018","","Research Engineer","Signify Technology","San Francisco, CA","2025-08-13","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/signify-technology","","","","","","","","","","","",""
"li-4284165181","linkedin","https://www.linkedin.com/jobs/view/4284165181","","Electronic Engineering","Foxconn Industrial Internet - FII","Houston, TX","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/foxconn-industrial-internet-fii","","","","","","","","","","","",""
"li-4273996498","linkedin","https://www.linkedin.com/jobs/view/4273996498","","New Product Introduction Engineer","Kforce Inc","Phoenix, AZ","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/kforce","","","","","","","","","","","",""
"li-4282285780","linkedin","https://www.linkedin.com/jobs/view/4282285780","","R&D Engineer","Abbott","Minneapolis, MN","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/abbott-","","","","","","","","","","","",""
"li-4284452135","linkedin","https://www.linkedin.com/jobs/view/4284452135","","Project Engineer (Electrical)","Veolia","New York, NY","","","","","","","",False,"","","","","","","https://fr.linkedin.com/company/veolia-environnement","","","","","","","","","","","",""
"li-4284166193","linkedin","https://www.linkedin.com/jobs/view/4284166193","","Thermal Engineer","Foxconn Industrial Internet - FII","Houston, TX","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/foxconn-industrial-internet-fii","","","","","","","","","","","",""
"li-4284288413","linkedin","https://www.linkedin.com/jobs/view/4284288413","","Physical Design Engineer","Umanist NA","Milpitas, CA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/umanistna","","","","","","","","","","","",""
"li-4273989203","linkedin","https://www.linkedin.com/jobs/view/4273989203","","Cloud Engineer II","Blue Cross and Blue Shield of Kansas City","Kansas City, MO","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/bluekc","","","","","","","","","","","",""
"li-4285315568","linkedin","https://www.linkedin.com/jobs/view/4285315568","","AI Engineer","Max AI","San Francisco, CA","","","","","","","",False,"","","","","","","https://www.linkedin.com/company/maxcare-ai","","","","","","","","","","","",""
